ASTI	00173457
MMDA EFCOS	00173456
MMDA Tapayan Pumping Station	00173458
MMDA San Andres Pumping Station	00173459
DOST Compound 	00174730
De La Salle Araneta University	00174722
MMDA Catmon	00174723
CAAP	00174729
3S Center Brgy. Punturin	00174725
3S Center Brgy. Ugong	00174727
VCDRRMO BLDG	00174734
Dr. Filemon C. Aguilar Memorial College	00174733
Brgy. Elias Aldana	00174724
Las Piñas Science High School	00174726
MMDA Balut pumping station	00174728
RAVE Pasig City	00181290
Rescue Emergency Disaster (RED) Training Center Pasig	00174732
MMDA Libertad Pumping Station	00181289
3S Center Brgy. Bagbaguin	00174731
Centennial Park	00181288
Bayanan Elementary School	00181283
Unibersidad de Manila (UDM)	00181287
Anabu I-B Fire Station	00181286
Xavier School	00181285
E. Library, Technological College	00181274
C3 Bldg. Mandaluyong	00181284
Colegio de Muntinlupa	00181294
NAMRIA	00181292
Technological University of the Philippines (TUP)	00181272
NBP Reservation Sunken Garden	00181293
PAGASA Science Garden	00174735
Greenheights Subdivision,	00181291
Quezon City Science High School	00181271
Brgy. Nagkaisang Nayon	00181273
Brgy. Sineguelasan	00181300
