ASTI,00173457,P
MMDA EFCOS,00173456,P
MMDA Tapayan Pumping Station,00173458,P
MMDA San Andres Pumping Station,00173459,P
DOST Compound,00174730,P
De La Salle Araneta University,00174722,P
MMDA Catmon,00174723,P
CAAP,00174729,P
3S Center Brgy. Punturin,00174725,P
3S Center Brgy. Ugong,00174727,P
VCDRRMO BLDG,00174734,P
Dr. Filemon C. Aguilar Memorial College,00174733,P
Brgy. Elias Aldana,00174724,P
Las Piñas Science High School,00174726,P
MMDA Balut pumping station,00174728,P
RAVE Pasig City,00181290,P
Rescue Emergency Disaster (RED) Training Center Pasig,00174732,P
MMDA Libertad Pumping Station,00181289,P
3S Center Brgy. Bagbaguin,00174731,P
Centennial Park,00181288,P
Bayanan Elementary School,00181283,P
Unibersidad de Manila (UDM),00181287,P
Anabu I-B Fire Station,00181286,P
Xavier School,00181285,P
E. Library Technological College,00181274,P
C3 Bldg. Mandaluyong,00181284,P
Colegio de Muntinlupa,00181294,P
NAMRIA,00181292,P
Technological University of the Philippines (TUP),00181272,P
NBP Reservation Sunken Garden,00181293,P
PAGASA Science Garden,00174735,P
Greenheights Subdivision,00181291,P
Quezon City Science High School,00181271,P
Brgy. Nagkaisang Nayon,00181273,P
Brgy. Sineguelasan,00181300,P
UPLB National AgroMet Station,00173478,V
PAGASA Puerto Prinsesa,00174736,V
PAGASA Legazpi,00181305,V
PAGASA Davao,00181306,V
PAGASA Dagupan,00181310,V
PAGASA Munoz,00181303,V
